business_name,project_name,project_category,strategic_value_level,kpi_number,kpi_category,kpi_name,kpi_support_description,kpi_measurement_approach,kpi_target,kpi_actual,kpi_delta,kpi_notes
ClubOS,Increase employee productivity using AI tools (ChatGPT / Claude),L1. Using external AI tools for basic internal productivity,Simple Tool,1,Adoption Rate,Employee AI Tool Adoption Rate,"Playbooks & prompts: Publish short “how-to”s to increase productivity and tool adoption. 
Engineering Slack Channel: Knowledge sharing of usefull prompts, eductional material.
AI programming training: Conducting training sessions to educate engineers on AI codding methods",Adoption rate %,100,40,-60,
ClubOS,Increase employee productivity using AI tools (ChatGPT / Claude),L1. Using external AI tools for basic internal productivity,Simple Tool,2,Productivity Gains,Employee Productivity Gains,"Standardize automation: Ship “Automation Playbooks” for the top workflows (PR summary, unit-test generation, CRUD/API scaffolds, bug triage notes, meeting→ticket, design/ADR drafts).
Tight feedback loop: Weekly review of playbook metrics; retire low-ROI steps, improve prompts/examples.
Reviewer gate: Definition of Done requires: tests for AI-generated code, security/static checks, and PR comment “AI steps used.”",Effective Hours Saved (EHS) per week,0,0,0,
ClubOS,Increase employee productivity using AI tools (ChatGPT / Claude),L1. Using external AI tools for basic internal productivity,Simple Tool,3,Cost Savings,.... Select the primary KPI (Jonas Library),,,0,0,0,
ClubOS,AI Knowledge Base search for Internal Employees,L3.  AI-powered internal business process improvements,Internal Process,1,Employee Satisfaction,Employee AI Tool Adoption Rate,The ability to use an AI knowledge base minimizes the need for manual searches. Reduces stress and frustration of information gaps and helps staff feel more confident and competent.,"Active Sign in for users for the previous 7 days for Agents, CSMs, Onboarding and Ops management team (total 30 users)",30,21,-9,
ClubOS,AI Knowledge Base search for Internal Employees,L3.  AI-powered internal business process improvements,Internal Process,2,Productivity Gains,Time Savings / Resolution Time Reduction,The use of AI knowledge has a direct impact to agents ability to handle more cases.   Our current metrics for 2025 has had significant month-month fluctuations and needs to be consistent to meet client expectations,Reduction in average case resolution times for cases opened in the previous reporting period (week).   Industry standard 12-24 Buisness hours.  Set goal of 18 (average),18,30,12,"Average resolution time is 30 hrs YTD, goal is to get consistently at or below 18 hrs"
ClubOS,AI Knowledge Base search for Internal Employees,L3.  AI-powered internal business process improvements,Internal Process,3,Cost Savings,Process Cycle Time Reduction,"Teams can handle inquires with greater accuracy and speed, allowing the support agents to handle more calls within the day.",Reduction in Average Call Handling time for Agents.   Reduce to the Industry Average of 8-10 mins (use average of 9 as the goal),9,12,3,"AHT is 11.10 YTD, AHT target is 9 minutes"
ClubOS,AI Knowledge Base search/chat for club staff in ASF,L4.  Using AI to enhance existing customer-facing products,Customer Feature - Existing,1,Customer Adoption,# of Customers using the AI,The solution will enable ASF users to find answers from our knowledge base using an AI-supported search.  This will eliminate many general question tickets that typically go to the support team.,We will track the number of customers using the AI.,0,0,0,
ClubOS,AI Knowledge Base search/chat for club staff in ASF,L4.  Using AI to enhance existing customer-facing products,Customer Feature - Existing,2,Usage Metrics,Throughput,The AI knowledge-base search will provide fast answers to questions asked by club management and staff.  We would like to see the usage of this search increase over time as customers become more aware of it and trust the answers they are getting from the AI.,We will track the number of questions handled by the AI.,0,0,0,
ClubOS,AI Knowledge Base search/chat for club staff in ASF,L4.  Using AI to enhance existing customer-facing products,Customer Feature - Existing,3,Revenue Impact,Time Savings / Resolution Time Reduction,"The solution will reduce the number of support tickets being sent in for general questions about the software, allowing support team members to handle more critical questions and tasks.",Track the total number of cases opened by clubs for general product questions.,0,0,0,
ClubOS,Member support AI agent,L4.  Using AI to enhance existing customer-facing products,Customer Feature - Existing,1,Customer Adoption,# of Customers using the AI,The solution will provide members with chat support that can assist with general questions prior to escalating to support.,The total number of members using the chat bot to get support.,0,0,0,
ClubOS,Member support AI agent,L4.  Using AI to enhance existing customer-facing products,Customer Feature - Existing,2,Usage Metrics,Automation Rate,The solution will automate handling of answers to general questions.,The total number of inquiries handled by the chat bot that could be handled without escalation to a support rep.,0,0,0,
ClubOS,Member support AI agent,L4.  Using AI to enhance existing customer-facing products,Customer Feature - Existing,3,Revenue Impact,Time Savings / Resolution Time Reduction,"For cases that require escalation, the chat bot will provide more information to clearly indicate the member request/issue. This will allow support to more efficiently respond and resolve member support cases.",Average resolution time for member support cases,0,0,0,
ClubOS,AI Content Creation in ClubOS,L4.  Using AI to enhance existing customer-facing products,Customer Feature - Existing,1,Customer Adoption,% of Customers using the AI,This solution will allow customers to more quickly generate content for email campaigns while remaining in the ClubOS platform.,Percentage of customers using AI to create email campaigns vs total campaigns created,0,0,0,
ClubOS,AI Content Creation in ClubOS,L4.  Using AI to enhance existing customer-facing products,Customer Feature - Existing,2,Usage Metrics,Throughput,This solution will allow customers to more quickly generate content for email campaigns while remaining in the ClubOS platform.,Total number of prompts sent into the AI to create email content.,0,0,0,
ClubOS,AI Content Creation in ClubOS,L4.  Using AI to enhance existing customer-facing products,Customer Feature - Existing,3,Revenue Impact,Revenue Growth from AI-enhanced products,"Customers have a set number of AI prompts each month, we can negotiate additional prompts on a customer by customer basis.",Additional revenue from new customers or customers requesting additional AI prompts.,0,0,0,
ClubOS,Virtual front desk AI Agent,L5.  Entirely new product capabilities powered by AI,Customer Feature - New,1,Market Differentiation,# of Customers using the AI,This solution will allow customers to automate the handling of inbound messages to the club.,Total number of customers using the agent for inbound requests.,0,0,0,
ClubOS,Virtual front desk AI Agent,L5.  Entirely new product capabilities powered by AI,Customer Feature - New,2,Competitive Advantage,Automation Rate,"The AI will support automating workflows that previously required human intevention, we wil measure the number of requests that could be fully handled by the AI vs those that required escalation.",The percentage of inbound messages that could be handled via automation / AI.,0,0,0,
ClubOS,Virtual front desk AI Agent,L5.  Entirely new product capabilities powered by AI,Customer Feature - New,3,Revenue Impact,Revenue Growth from AI-enhanced products,The solution eliminates the need for clubs to have certain staff available to handle inbound requests. We would charge additional fees to enable this functionality.,Revenue from customers that upgrade to AI solution.,0,0,0,
ClubOS,HubSpot Marketing AI Beta,L1. Using external AI tools for basic internal productivity,Simple Tool,1,Adoption Rate,Time Savings / Resolution Time Reduction,"Allows us to create all content in HubSpot and allows for one simple prompt that creates content that can be used accross many different channels (Facebook, LinkedIn, Email, blogs etc...)",Current hours devoted to creating content vary from week to week but average around 4 hours per week. The goal is to cut that time in half with AI.,2,4,2,In Beta. Additional Training with HubSpot support is on 11/7
ClubOS,HubSpot Marketing AI Beta,L1. Using external AI tools for basic internal productivity,Simple Tool,2,Productivity Gains,Revenue Growth from AI-enhanced products,Better content will lead to more interest in COS Software.,"Current avg weekly demos is 5, the goal is to do 9 weekly new logo demos.",9,5,-4,
ClubOS,HubSpot Marketing AI Beta,L1. Using external AI tools for basic internal productivity,Simple Tool,3,Cost Savings,Cost Savings,We were able to eliminate our Belay marketing recource.,"Since eliminatingthe Belay resource, we are saving $35K annually.",35,35,0,
