kpi_category,measurement_approach,business_name,project_name,project_category,support_description,support_quality_score,support_quality_category,measurement_quality_score,measurement_quality_category,support_has_metric,support_has_timeframe,measurement_has_metric,measurement_has_timeframe,support_word_count,measurement_word_count
Adoption Rate,Adoption rate %,ClubOS,Increase employee productivity using AI tools (ChatGPT / Claude),L1. Using external AI tools for basic internal productivity,"Playbooks & prompts: Publish short “how-to”s to increase productivity and tool adoption. 
Engineering Slack Channel: Knowledge sharing of usefull prompts, eductional material.
AI programming training: Conducting training sessions to educate engineers on AI codding methods",3,Poor,3,Poor,FALSE,FALSE,TRUE,FALSE,35,3
Productivity Gains,Effective Hours Saved (EHS) per week,ClubOS,Increase employee productivity using AI tools (ChatGPT / Claude),L1. Using external AI tools for basic internal productivity,"Standardize automation: Ship “Automation Playbooks” for the top workflows (PR summary, unit-test generation, CRUD/API scaffolds, bug triage notes, meeting→ticket, design/ADR drafts).
Tight feedback loop: Weekly review of playbook metrics; retire low-ROI steps, improve prompts/examples.
Reviewer gate: Definition of Done requires: tests for AI-generated code, security/static checks, and PR comment “AI steps used.”",8,Excellent,5,Fair,TRUE,TRUE,TRUE,TRUE,52,6
Cost Savings,,ClubOS,Increase employee productivity using AI tools (ChatGPT / Claude),L1. Using external AI tools for basic internal productivity,,0,Empty,0,Empty,FALSE,FALSE,FALSE,FALSE,0,0
Employee Satisfaction,"Active Sign in for users for the previous 7 days for Agents, CSMs, Onboarding and Ops management team (total 30 users)",ClubOS,AI Knowledge Base search for Internal Employees,L3.  AI-powered internal business process improvements,The ability to use an AI knowledge base minimizes the need for manual searches. Reduces stress and frustration of information gaps and helps staff feel more confident and competent.,3,Poor,5,Fair,FALSE,FALSE,TRUE,FALSE,29,21
Productivity Gains,Reduction in average case resolution times for cases opened in the previous reporting period (week).   Industry standard 12-24 Buisness hours.  Set goal of 18 (average),ClubOS,AI Knowledge Base search for Internal Employees,L3.  AI-powered internal business process improvements,The use of AI knowledge has a direct impact to agents ability to handle more cases.   Our current metrics for 2025 has had significant month-month fluctuations and needs to be consistent to meet client expectations,6,Good,8,Excellent,FALSE,TRUE,TRUE,TRUE,35,25
Cost Savings,Reduction in Average Call Handling time for Agents.   Reduce to the Industry Average of 8-10 mins (use average of 9 as the goal),ClubOS,AI Knowledge Base search for Internal Employees,L3.  AI-powered internal business process improvements,"Teams can handle inquires with greater accuracy and speed, allowing the support agents to handle more calls within the day.",2,Poor,6,Good,FALSE,FALSE,TRUE,FALSE,20,23
Customer Adoption,We will track the number of customers using the AI.,ClubOS,AI Knowledge Base search/chat for club staff in ASF,L4.  Using AI to enhance existing customer-facing products,The solution will enable ASF users to find answers from our knowledge base using an AI-supported search.  This will eliminate many general question tickets that typically go to the support team.,5,Fair,3,Poor,TRUE,FALSE,TRUE,FALSE,31,10
Usage Metrics,We will track the number of questions handled by the AI.,ClubOS,AI Knowledge Base search/chat for club staff in ASF,L4.  Using AI to enhance existing customer-facing products,The AI knowledge-base search will provide fast answers to questions asked by club management and staff.  We would like to see the usage of this search increase over time as customers become more aware of it and trust the answers they are getting from the AI.,6,Good,3,Poor,TRUE,FALSE,TRUE,FALSE,46,11
Revenue Impact,Track the total number of cases opened by clubs for general product questions.,ClubOS,AI Knowledge Base search/chat for club staff in ASF,L4.  Using AI to enhance existing customer-facing products,"The solution will reduce the number of support tickets being sent in for general questions about the software, allowing support team members to handle more critical questions and tasks.",6,Good,3,Poor,TRUE,FALSE,TRUE,FALSE,29,13
Customer Adoption,The total number of members using the chat bot to get support.,ClubOS,Member support AI agent,L4.  Using AI to enhance existing customer-facing products,The solution will provide members with chat support that can assist with general questions prior to escalating to support.,2,Poor,3,Poor,FALSE,FALSE,TRUE,FALSE,19,12
Usage Metrics,The total number of inquiries handled by the chat bot that could be handled without escalation to a support rep.,ClubOS,Member support AI agent,L4.  Using AI to enhance existing customer-facing products,The solution will automate handling of answers to general questions.,0,Very Poor,5,Fair,FALSE,FALSE,TRUE,FALSE,10,20
Revenue Impact,Average resolution time for member support cases,ClubOS,Member support AI agent,L4.  Using AI to enhance existing customer-facing products,"For cases that require escalation, the chat bot will provide more information to clearly indicate the member request/issue. This will allow support to more efficiently respond and resolve member support cases.",2,Poor,3,Poor,FALSE,FALSE,TRUE,FALSE,31,7
Customer Adoption,Percentage of customers using AI to create email campaigns vs total campaigns created,ClubOS,AI Content Creation in ClubOS,L4.  Using AI to enhance existing customer-facing products,This solution will allow customers to more quickly generate content for email campaigns while remaining in the ClubOS platform.,5,Fair,5,Fair,TRUE,FALSE,TRUE,TRUE,19,13
Usage Metrics,Total number of prompts sent into the AI to create email content.,ClubOS,AI Content Creation in ClubOS,L4.  Using AI to enhance existing customer-facing products,This solution will allow customers to more quickly generate content for email campaigns while remaining in the ClubOS platform.,5,Fair,3,Poor,TRUE,FALSE,TRUE,FALSE,19,12
Revenue Impact,Additional revenue from new customers or customers requesting additional AI prompts.,ClubOS,AI Content Creation in ClubOS,L4.  Using AI to enhance existing customer-facing products,"Customers have a set number of AI prompts each month, we can negotiate additional prompts on a customer by customer basis.",7,Good,3,Poor,TRUE,TRUE,TRUE,FALSE,21,11
Market Differentiation,Total number of customers using the agent for inbound requests.,ClubOS,Virtual front desk AI Agent,L5.  Entirely new product capabilities powered by AI,This solution will allow customers to automate the handling of inbound messages to the club.,0,Very Poor,3,Poor,FALSE,FALSE,TRUE,FALSE,15,10
Competitive Advantage,The percentage of inbound messages that could be handled via automation / AI.,ClubOS,Virtual front desk AI Agent,L5.  Entirely new product capabilities powered by AI,"The AI will support automating workflows that previously required human intevention, we wil measure the number of requests that could be fully handled by the AI vs those that required escalation.",5,Fair,5,Fair,TRUE,FALSE,TRUE,TRUE,31,13
Revenue Impact,Revenue from customers that upgrade to AI solution.,ClubOS,Virtual front desk AI Agent,L5.  Entirely new product capabilities powered by AI,The solution eliminates the need for clubs to have certain staff available to handle inbound requests. We would charge additional fees to enable this functionality.,2,Poor,3,Poor,FALSE,FALSE,TRUE,FALSE,25,8
Adoption Rate,Current hours devoted to creating content vary from week to week but average around 4 hours per week. The goal is to cut that time in half with AI.,ClubOS,HubSpot Marketing AI Beta,L1. Using external AI tools for basic internal productivity,"Allows us to create all content in HubSpot and allows for one simple prompt that creates content that can be used accross many different channels (Facebook, LinkedIn, Email, blogs etc...)",2,Poor,10,Excellent,FALSE,FALSE,TRUE,TRUE,30,29
Productivity Gains,"Current avg weekly demos is 5, the goal is to do 9 weekly new logo demos.",ClubOS,HubSpot Marketing AI Beta,L1. Using external AI tools for basic internal productivity,Better content will lead to more interest in COS Software.,0,Very Poor,7,Good,FALSE,FALSE,FALSE,TRUE,10,16
Cost Savings,"Since eliminatingthe Belay resource, we are saving $35K annually.",ClubOS,HubSpot Marketing AI Beta,L1. Using external AI tools for basic internal productivity,We were able to eliminate our Belay marketing recource.,0,Very Poor,2,Poor,FALSE,FALSE,FALSE,TRUE,9,9
